Transaction_ID|Customer_ID|Product_Id|Date|Time|Quantity|Price|Feedback|Shipping_Method|Payment_Method|Order_Status|Ratings
9361610|48194|10052|2023-03-01|00:00:00|3|206.6706786|Good|Express|PayPal|Delivered|3
7314602|98536|10003|2023-03-01|00:02:39|2|285.5448314|Bad|Same-Day|Cash|Delivered|1
8640391|77902|10349|2023-03-01|00:03:14|1|447.1635333|Good|Same-Day|Debit Card|Shipped|4
5648371|51911|10057|2023-03-01|00:03:28|10|39.50555368|Excellent|Standard|PayPal|Processing|5
4726008|94471|10010|2023-03-01|00:08:36|6|457.7068952|Good|Express|Credit Card|Delivered|3
7480984|28185|10080|2023-03-01|00:17:33|2|396.5472546|Bad|Standard|PayPal|Pending|1
9837546|40626|10231|2023-03-01|00:18:13|1|321.882445|Excellent|Standard|Cash|Delivered|4
5395736|67567|10372|2023-03-01|00:18:20|1|99.53213902|Good|Standard|Cash|Delivered|4
8710636|62845|10308|2023-03-01|00:20:21|10|251.7821613|Excellent|Same-Day|Debit Card|Delivered|4
4995158|88499|10006|2023-03-01|00:21:18|5|256022027|Good|Express|Debit Card|Delivered|4
8349220|88516|10024|2023-03-01|00:21:21|3|446.6370084|Excellent|Express|Credit Card|Delivered|4
1677604|53014|10245|2023-03-01|00:21:59|1|371.3224981|Bad|Same-Day|Credit Card|Shipped|1
2989637|32808|10227|2023-03-01|00:23:00|1|51.10432223|Average|Express|Credit Card|Delivered|2
3739305|38257|10470|2023-03-01|00:27:36|2|301.7629758|Average|Standard|Credit Card|Shipped|2
2755990|90139|10095|2023-03-01|00:31:45|4|498.3349562|Excellent|Same-Day|PayPal|Shipped|4
4944713|64726|10391|2023-03-01|00:32:01|8|217.2128966|Bad|Same-Day|PayPal|Processing|1
1962812|31566|10049|2023-03-01|00:33:20|3|109.3922672|Bad|Express|Credit Card|Processing|1
1925382|59501|10237|2023-03-01|00:39:02|4|430.8249093|Average|Standard|PayPal|Processing|2
5350780|39418|10402|2023-03-01|00:44:11|7|300.5934906|Good|Express|Credit Card|Delivered|3
6316554|19842|10391|2023-03-01|00:45:10|1|179.4025316|Good|Express|Debit Card|Processing|3
5654260|95661|10463|2023-03-01|00:45:32|4|277.971733|Excellent|Express|Debit Card|Delivered|4
7681373|14606|10189|2023-03-01|00:50:01|3|182.8534929|Good|Same-Day|Credit Card|Delivered|4
3943686|76605|10177|2023-03-01|00:52:38|2|450.2427236|Average|Standard|Credit Card|Pending|2
7191402|76950|10422|2023-03-01|00:53:30|6|190.756342|Good|Standard|Debit Card|Delivered|3
4287057|25616|10369|2023-03-01|00:53:53|8|120.7864805|Excellent|Express|Credit Card|Shipped|4
8377246|12526|10022|2023-03-01|00:54:49|10|237.4575824|Average|Same-Day|Debit Card|Delivered|2
3931782|91132|10453|2023-03-01|00:57:21|8|164657647|Bad|Standard|Credit Card|Delivered|1
9618292|49827|10215|2023-03-01|00:57:29|6|273.2700546|Good|Standard|Debit Card|Delivered|4
2044879|82695|10300|2023-03-01|00:58:07|8|44622839|Good|Same-Day|Credit Card|Pending|4
3066558|94689|10062|2023-03-01|00:59:47|9|417633639|Average|Same-Day|Cash|Delivered|2
9002278|92062|10418|2023-03-01|01:03:45|6|152.7422505|Good|Same-Day|Credit Card|Delivered|4
7758754|88868|10386|2023-03-01|01:03:55|8|386.9920727|Average|Standard|Cash|Delivered|2
6440906|44452|10048|2023-03-01|01:04:40|1|172.1035363|Good|Same-Day|Credit Card|Processing|3
8793037|99052|10387|2023-03-01|01:06:50|8|481.1016347|Average|Standard|Debit Card|Pending|2
6131150|49472|10085|2023-03-01|01:07:45|6|160.373723|Excellent|Standard|Cash|Delivered|4
7607483|62051|10092|2023-03-01|01:09:02|4|458.2591846|Average|Express|PayPal|Processing|2
5499505|63288|10172|2023-03-01|01:16:11|1|483684827|Excellent|Express|Credit Card|Pending|4
1023963|45199|10464|2023-03-01|01:21:59|2|201.8057961|Average|Express|Credit Card|Delivered|2
4152184|83603|10187|2023-03-01|01:23:45|8|136.3366523|Good|Standard|Cash|Shipped|4
5952313|69537|10134|2023-03-01|01:28:15|3|372.5667235|Average|Express|Debit Card|Shipped|2
5271301|75080|10321|2023-03-01|01:28:47|3|18.33045758|Excellent|Standard|Cash|Processing|4
7875768|70073|10326|2023-03-01|01:30:22|6|226.7672375|Bad|Same-Day|Debit Card|Shipped|1
3371756|74689|10265|2023-03-01|01:35:02|7|394.3776117|Good|Express|Credit Card|Delivered|4
3267693|16871|10277|2023-03-01|01:39:14|4|296501476|Good|Same-Day|Debit Card|Delivered|4
1683691|56638|10255|2023-03-01|01:41:21|3|301.8523931|Good|Same-Day|PayPal|Delivered|4
5319353|21272|10445|2023-03-01|01:41:52|3|752351206|Good|Standard|Credit Card|Delivered|3
6523383|65239|10020|2023-03-01|01:42:15|1|128.3118171|Excellent|Express|PayPal|Shipped|5
7547898|79510|10244|2023-03-01|01:42:32|2|31.76355494|Average|Same-Day|Debit Card|Delivered|2
1120975|86929|10129|2023-03-01|01:48:36|6|167.8612406|Excellent|Same-Day|PayPal|Delivered|5
9066270|96289|10020|2023-03-01|01:52:36|9|285.1480052|Average|Same-Day|Debit Card|Shipped|2
3117401|11032|10394|2023-03-01|01:55:23|10|463.6109185|Excellent|Same-Day|PayPal|Processing|4
6976861|49211|10409|2023-03-01|01:57:59|6|350.2527154|Bad|Same-Day|Credit Card|Processing|1
9285632|61571|10433|2023-03-01|01:58:45|3|473.9952315|Average|Express|Credit Card|Pending|2
8125789|68753|10335|2023-03-01|01:59:57|8|289.5429273|Average|Express|Credit Card|Pending|2
8614835|74949|10162|2023-03-01|02:02:42|5|332.3339385|Excellent|Same-Day|Cash|Shipped|4
2953209|28292|10263|2023-03-01|02:04:09|10|175.5519957|Good|Standard|PayPal|Processing|3
2897802|97950|10172|2023-03-01|02:05:39|4|376.9056686|Excellent|Standard|Cash|Shipped|5
8161983|89635|10471|2023-03-01|02:07:23|7|45.78101748|Excellent|Standard|Cash|Delivered|5
8200330|76089|10376|2023-03-01|02:08:39|6|415.3322569|Excellent|Standard|Debit Card|Processing|4
1873195|13043|10388|2023-03-01|02:09:32|7|207.3409016|Average|Same-Day|Credit Card|Pending|2
2303095|52575|10429|2023-03-01|02:10:13|10|182.9312581|Excellent|Same-Day|Cash|Processing|5
7352174|86104|10372|2023-03-01|02:10:14|5|169.624898|Bad|Express|Cash|Delivered|1
2394578|66095|10009|2023-03-01|02:12:00|9|312.7361915|Good|Express|Credit Card|Shipped|3
1297920|42235|10244|2023-03-01|02:13:10|8|357.2042042|Excellent|Express|Cash|Shipped|5
6808766|88695|10426|2023-03-01|02:13:18|9|98.6987166|Good|Standard|Credit Card|Pending|3
7607915|37243|10340|2023-03-01|02:15:37|2|419.560256|Excellent|Same-Day|Credit Card|Delivered|5
1194897|45688|10332|2023-03-01|02:16:24|3|402.2602499|Good|Same-Day|Credit Card|Shipped|4
4560588|31354|10414|2023-03-01|02:16:40|10|290.2684965|Excellent|Same-Day|Credit Card|Delivered|4
5559600|37738|10313|2023-03-01|02:17:00|3|40.45450535|Excellent|Same-Day|Debit Card|Delivered|5
6685383|20952|10464|2023-03-01|02:25:36|9|350.3190338|Good|Express|Cash|Delivered|4
9311550|34526|10358|2023-03-01|02:27:50|1|247.3407993|Excellent|Express|PayPal|Shipped|5
7455455|85504|10326|2023-03-01|02:31:49|2|394.4208037|Excellent|Standard|Credit Card|Processing|5
1691174|57181|10067|2023-03-01|02:31:57|6|287.6578182|Bad|Standard|PayPal|Pending|1
9433722|64187|10338|2023-03-01|02:32:13|10|440587896|Good|Standard|PayPal|Delivered|3
3769241|63864|10266|2023-03-01|02:33:40|9|195.8420338|Bad|Express|Debit Card|Delivered|1
2489896|54959|10369|2023-03-01|02:37:22|8|203.4041148|Bad|Same-Day|Credit Card|Delivered|1
9179058|70427|10444|2023-03-01|02:37:48|2|482.719607|Excellent|Same-Day|Credit Card|Processing|5
8015168|35368|10332|2023-03-01|02:38:34|10|228.8960638|Average|Express|Cash|Pending|2
9264421|87805|10071|2023-03-01|02:39:48|2|178.2919636|Good|Express|Cash|Processing|4
6874342|90211|10023|2023-03-01|02:42:49|4|337.3416953|Average|Standard|Debit Card|Processing|2
7104749|82324|10015|2023-03-01|02:43:55|1|258.9484767|Bad|Standard|Cash|Delivered|1
7455659|43927|10239|2023-03-01|02:43:55|4|331.9643512|Average|Express|Credit Card|Shipped|2
5916286|97433|10362|2023-03-01|02:47:08|8|304.2693594|Bad|Standard|Cash|Delivered|1
6613220|87374|10304|2023-03-01|02:54:24|6|311.9780978|Bad|Express|Cash|Delivered|1
9076152|66582|10030|2023-03-01|02:54:30|9|373.8171384|Excellent|Same-Day|Cash|Processing|5
8928483|92841|10433|2023-03-01|02:54:47|2|89.57331561|Excellent|Standard|Debit Card|Processing|4
6556548|89446|10151|2023-03-01|02:55:28|4|499.9161282|Excellent|Same-Day|Debit Card|Pending|4
6651106|89924|10015|2023-03-01|02:55:54|7|268364279|Average|Same-Day|Credit Card|Delivered|2
1792108|90579|10077|2023-03-01|02:56:55|8|100.5268289|Excellent|Same-Day|Debit Card|Pending|4
9621290|13398|10306|2023-03-01|02:59:18|10|223.5293123|Excellent|Same-Day|PayPal|Shipped|4
9219855|46226|10032|2023-03-01|02:59:19|4|221.4975231|Average|Same-Day|Credit Card|Delivered|2
5056224|69112|10082|2023-03-01|03:03:07|9|105.1673757|Good|Express|Cash|Delivered|3
4608922|51792|10274|2023-03-01|03:04:30|8|32.35350671|Good|Express|Cash|Shipped|3
6832142|50674|10073|2023-03-01|03:04:32|6|216.1050863|Excellent|Same-Day|Debit Card|Processing|5
1793110|75712|10082|2023-03-01|03:05:11|5|202.4824408|Excellent|Standard|Debit Card|Processing|4
7798073|61728|10098|2023-03-01|03:07:33|10|296.888902|Good|Same-Day|Cash|Processing|3
2407315|78739|10222|2023-03-01|03:10:03|10|428.9772319|Excellent|Standard|PayPal|Processing|4
7709349|81181|10192|2023-03-01|03:11:56|10|107.4139652|Average|Express|PayPal|Delivered|2
5123229|75661|10288|2023-03-01|03:12:48|5|133.4927445|Average|Express|PayPal|Pending|2
9665569|89702|10379|2023-03-01|03:13:11|4|120.8287287|Good|Express|Cash|Processing|4
5476632|38399|10427|2023-03-01|03:15:12|5|48.78056665|Good|Same-Day|Credit Card|Processing|4
3614823|85915|10280|2023-03-01|03:15:58|5|325409768|Excellent|Same-Day|Credit Card|Delivered|5
8989691|28024|10057|2023-03-01|03:17:58|10|321.9644733|Good|Standard|Credit Card|Shipped|3
1773919|14914|10152|2023-03-01|03:23:16|5|344.8778634|Excellent|Same-Day|Debit Card|Pending|5
2097058|29545|10240|2023-03-01|03:28:30|5|83.2120205|Bad|Same-Day|Debit Card|Processing|1
2093724|29207|10377|2023-03-01|03:29:12|5|413.5263481|Average|Same-Day|Credit Card|Processing|2
1724064|38561|10043|2023-03-01|03:29:23|5|21.981152|Good|Same-Day|Credit Card|Delivered|4
7998211|58452|10217|2023-03-01|03:32:51|10|119.4458146|Good|Same-Day|Credit Card|Delivered|3
6881520|87292|10182|2023-03-01|03:32:53|6|320.7815596|Excellent|Same-Day|Credit Card|Delivered|5
4807893|43185|10185|2023-03-01|03:36:22|2|339195128|Good|Express|Cash|Delivered|4
9887568|84606|10149|2023-03-01|03:42:15|4|98.90263715|Bad|Same-Day|Debit Card|Shipped|1
5822926|82101|10015|2023-03-01|03:51:05|8|158.676072|Good|Standard|Debit Card|Shipped|3
1496652|53201|10231|2023-03-01|03:55:53|3|131.2925345|Good|Standard|Debit Card|Delivered|4
4465863|86532|10262|2023-03-01|03:56:11|4|213038025|Excellent|Standard|Debit Card|Delivered|4
4473658|68536|10194|2023-03-01|03:56:14|4|420.2553443|Excellent|Express|Credit Card|Delivered|5
6583684|65259|10330|2023-03-01|03:58:48|1|390.795418|Average|Express|Credit Card|Delivered|2
6917242|31569|10058|2023-03-01|03:59:02|3|231.4205944|Good|Standard|Credit Card|Delivered|3
5921268|14394|10333|2023-03-01|04:01:43|4|392.8520045|Excellent|Express|Debit Card|Delivered|5
8804990|88138|10047|2023-03-01|04:03:23|9|323.4005374|Bad|Same-Day|Credit Card|Delivered|1
6149635|23732|10392|2023-03-01|04:04:05|8|228.4084568|Excellent|Same-Day|Credit Card|Shipped|4
6568460|19741|10021|2023-03-01|04:07:31|1|490387557|Excellent|Standard|Cash|Delivered|5
9245079|61292|10098|2023-03-01|04:07:56|7|102.8212893|Average|Standard|Cash|Shipped|2
9245079|61292|10175|2023-03-01|04:07:56|7|102.8212893|Excellent|Standard|Debit Card|Shipped|4
6244933|91328|10432|2023-03-01|04:07:59|10|202.7817262|Excellent|Same-Day|Cash|Shipped|4
6671736|17789|10348|2023-03-01|04:11:12|9|465.8598621|Bad|Express|PayPal|Delivered|1
3009308|80254|10447|2023-03-01|04:11:30|9|321.7727399|Excellent|Express|Debit Card|Delivered|5
2273464|63431|10286|2023-03-01|04:11:50|6|350.4073756|Good|Express|Credit Card|Delivered|4
9761956|33706|10347|2023-03-01|04:12:25|8|353.3032785|Excellent|Express|Debit Card|Shipped|4
2555030|13139|10109|2023-03-01|04:12:54|7|324.2475307|Average|Standard|Cash|Delivered|2
1817644|92397|10058|2023-03-01|04:13:26|5|384.5365068|Good|Express|Cash|Delivered|4
4322006|31043|10306|2023-03-01|04:14:22|9|474.2474845|Excellent|Express|PayPal|Delivered|4
2781822|48899|10358|2023-03-01|04:16:45|3|468.8679154|Excellent|Same-Day|PayPal|Delivered|5
1819665|56809|10003|2023-03-01|04:21:56|2|220.1298666|Average|Same-Day|Cash|Delivered|2
5304345|22640|10213|2023-03-01|04:21:58|4|215.1345451|Excellent|Standard|PayPal|Delivered|4
7754359|43225|10123|2023-03-01|04:22:57|6|488.7015894|Bad|Express|PayPal|Processing|1
1242098|31416|10138|2023-03-01|04:26:19|10|470360574|Average|Standard|Debit Card|Pending|2
5978506|64299|10200|2023-03-01|04:26:54|7|313.2932814|Excellent|Express|Debit Card|Delivered|5
2843673|46800|10137|2023-03-01|04:30:20|4|133.4514334|Excellent|Same-Day|Cash|Pending|4
8867588|22130|10353|2023-03-01|04:30:34|2|151.4372047|Average|Standard|Cash|Delivered|2
9762888|27676|10245|2023-03-01|04:31:03|6|39.50027134|Excellent|Express|Credit Card|Processing|5
4010859|14685|10274|2023-03-01|04:32:07|7|399.1732386|Good|Standard|Credit Card|Shipped|3
4303793|59186|10126|2023-03-01|04:33:13|5|451.8148869|Bad|Standard|Credit Card|Processing|1
9447106|57537|10264|2023-03-01|04:33:17|1|214.9073122|Excellent|Standard|Credit Card|Shipped|5
8313171|28690|10217|2023-03-01|04:33:24|7|205.5010802|Bad|Express|Credit Card|Delivered|1
2346052|96747|10388|2023-03-01|04:34:23|8|466.7721391|Good|Express|Credit Card|Shipped|4
8275882|82849|10118|2023-03-01|04:37:05|1|322.2771218|Good|Express|Cash|Delivered|3
9612338|23344|10349|2023-03-01|04:37:08|1|325.1617112|Bad|Standard|Debit Card|Processing|1
7167017|67412|10108|2023-03-01|04:39:12|6|427215815|Good|Standard|Credit Card|Shipped|3
2208163|27686|10032|2023-03-01|04:39:54|1|90.35570512|Bad|Standard|Credit Card|Delivered|1
5913272|18367|10383|2023-03-01|04:39:54|10|266.2078395|Bad|Same-Day|Credit Card|Processing|1
1307872|92170|10106|2023-03-01|04:40:30|5|340.1015138|Good|Standard|Cash|Delivered|3
4088242|71972|10280|2023-03-01|04:40:37|6|499.184434|Good|Express|Cash|Delivered|4
5121018|78004|10232|2023-03-01|04:40:51|7|491310819|Good|Standard|Credit Card|Processing|4
4246764|50866|10047|2023-03-01|04:41:53|3|300.543933|Good|Same-Day|Debit Card|Delivered|3
9309907|67699|10297|2023-03-01|04:47:34|7|375.6290059|Average|Express|Credit Card|Pending|2
6321747|68078|10058|2023-03-01|04:48:04|3|11.17406195|Good|Same-Day|PayPal|Delivered|4
5572562|80935|10190|2023-03-01|04:48:35|1|450716039|Good|Same-Day|Credit Card|Delivered|3
8672827|94482|10276|2023-03-01|04:50:03|5|36.42657243|Bad|Same-Day|Debit Card|Processing|1
5380258|15828|10155|2023-03-01|04:51:15|6|145.3478294|Bad|Same-Day|PayPal|Processing|1
5464164|34171|10219|2023-03-01|04:53:52|2|255.6050222|Good|Express|Credit Card|Delivered|3
2354198|23404|10092|2023-03-01|04:55:11|3|296.5127663|Good|Same-Day|Debit Card|Shipped|4
4461296|18927|10089|2023-03-01|04:56:06|8|291.7641353|Average|Same-Day|Debit Card|Delivered|2
5639987|76505|10311|2023-03-01|04:57:01|1|456.6056642|Excellent|Standard|Cash|Processing|4
3301006|74063|10047|2023-03-01|04:59:05|7|61.82571419|Excellent|Same-Day|Credit Card|Pending|4
4820286|11862|10083|2023-03-01|05:00:04|9|427.3036962|Good|Same-Day|Credit Card|Pending|3
3047463|13173|10464|2023-03-01|05:01:24|5|30.44081099|Excellent|Express|Credit Card|Shipped|4
9189863|14964|10384|2023-03-01|05:02:37|4|228.1726288|Good|Standard|Debit Card|Processing|3
1871690|83491|10258|2023-03-01|05:03:54|6|21.92706687|Excellent|Standard|Debit Card|Delivered|4
4618835|13780|10338|2023-03-01|05:05:19|2|490.6639683|Good|Express|Cash|Delivered|3
3058594|85499|10182|2023-03-01|05:06:28|6|390.2383691|Excellent|Express|Cash|Shipped|5
4315258|41218|10379|2023-03-01|05:07:08|5|458.7719967|Bad|Express|Credit Card|Processing|1
5261308|89463|10031|2023-03-01|05:07:17|1|100.3709222|Good|Standard|Credit Card|Shipped|4
5118331|88109|10191|2023-03-01|05:10:46|2|341.9769729|Average|Same-Day|PayPal|Delivered|2
8422016|39991|10375|2023-03-01|05:10:52|6|495.6102078|Bad|Express|Debit Card|Delivered|1
9459494|57009|10058|2023-03-01|05:11:22|6|454.7048629|Good|Standard|Credit Card|Delivered|4
9283039|93531|10186|2023-03-01|05:11:38|2|29.4296238|Good|Express|Credit Card|Delivered|3
9077437|67704|10148|2023-03-01|05:15:13|6|138.8165534|Excellent|Same-Day|Credit Card|Processing|5
9826481|73579|10343|2023-03-01|05:17:03|10|486.5685875|Excellent|Same-Day|Cash|Delivered|4
9812695|20621|10425|2023-03-01|05:20:54|1|296.3084662|Excellent|Same-Day|Cash|Processing|4
2481158|40303|10347|2023-03-01|05:21:37|7|16445928|Good|Standard|PayPal|Processing|4
5745341|83050|10449|2023-03-01|05:24:00|1|70.88164713|Excellent|Express|Credit Card|Processing|4
1671631|97804|10256|2023-03-01|05:25:59|7|205.1948818|Bad|Express|PayPal|Delivered|1
8704259|11623|10019|2023-03-01|05:27:53|3|389.6920024|Bad|Same-Day|Credit Card|Delivered|1
4476800|89620|10159|2023-03-01|05:29:40|10|140.1364043|Bad|Express|Debit Card|Delivered|1
8837215|84324|10096|2023-03-01|05:30:17|2|371.2843278|Bad|Same-Day|Cash|Shipped|1
6011304|61070|10457|2023-03-01|05:33:29|8|423.8473497|Excellent|Express|Debit Card|Processing|4
7371294|65682|10045|2023-03-01|05:34:52|2|471.1210929|Bad|Standard|Debit Card|Shipped|1
6424184|79181|10305|2023-03-01|05:36:31|9|492.4638295|Average|Express|Credit Card|Shipped|2
7376080|68174|10100|2023-03-01|05:37:15|2|379657064|Good|Express|Credit Card|Delivered|4
6697334|13520|10166|2023-03-01|05:39:03|8|60.4768206|Good|Express|Credit Card|Shipped|4
